fecha,dato
2018-01-02,19.48990
2018-01-03,19.37170
2018-01-04,19.24270
2018-01-05,19.27370
2018-01-08,19.23230
2018-01-09,19.30650
2018-01-10,19.24050
2018-01-11,19.34330
2018-01-12,19.04460
2018-01-15,18.81130
2018-01-16,18.83620
2018-01-17,18.65500
2018-01-18,18.63610
2018-01-19,18.58130
2018-01-22,18.71180
2018-01-23,18.79800
2018-01-24,18.51780
2018-01-25,18.47800
2018-01-26,18.46720
2018-01-29,18.61960
2018-01-30,18.69820
2018-01-31,18.60690
2018-02-01,18.40040
2018-02-02,18.52480
2018-02-06,18.70090
2018-02-07,18.64920
2018-02-08,18.88150
2018-02-09,18.86230
2018-02-12,18.67030
2018-02-13,18.62690
2018-02-14,18.60250
2018-02-15,18.51590
2018-02-16,18.47970
2018-02-19,18.53600
2018-02-20,18.65940
2018-02-21,18.65180
2018-02-22,18.65740
2018-02-23,18.56590
2018-02-26,18.64560
2018-02-27,18.79020
2018-02-28,18.83310
2018-03-01,18.86100
2018-03-02,18.89090
2018-03-05,18.88380
2018-03-06,18.72460
2018-03-07,18.79220
2018-03-08,18.71480
2018-03-09,18.58120
2018-03-12,18.61990
2018-03-13,18.56040
2018-03-14,18.58540
2018-03-15,18.70230
2018-03-16,18.72160
2018-03-20,18.76140
2018-03-21,18.60010
2018-03-22,18.50780
2018-03-23,18.53640
2018-03-26,18.32680
2018-03-27,18.34450
2018-03-28,18.27090
2018-04-02,18.29670
2018-04-03,18.20440
2018-04-04,18.22440
2018-04-05,18.10810
2018-04-06,18.28880
2018-04-09,18.27530
2018-04-10,18.28820
2018-04-11,18.20180
2018-04-12,18.13530
2018-04-13,18.08700
2018-04-16,18.03940
2018-04-17,17.97870
2018-04-18,18.03330
2018-04-19,18.28190
2018-04-20,18.62100
2018-04-23,18.86280
2018-04-24,18.81390
2018-04-25,19.05300
2018-04-26,18.86440
2018-04-27,18.68470
2018-04-30,18.78780
2018-05-02,19.09430
2018-05-03,19.12230
2018-05-04,19.20170
2018-05-07,19.42320
2018-05-08,19.57810
2018-05-09,19.53870
2018-05-10,19.29890
2018-05-11,19.35390
2018-05-14,19.52140
2018-05-15,19.78540
2018-05-16,19.70940
2018-05-17,19.70330
2018-05-18,19.93190
2018-05-21,19.90540
2018-05-22,19.75280
2018-05-23,19.76610
2018-05-24,19.70480
2018-05-25,19.56080
2018-05-28,19.59150
2018-05-29,19.74990
2018-05-30,19.73220
2018-05-31,19.97590
2018-06-01,19.86620
2018-06-04,19.99340
2018-06-05,20.38630
2018-06-06,20.31290
2018-06-07,20.46000
2018-06-08,20.52810
2018-06-11,20.47220
2018-06-12,20.59600
2018-06-13,20.62590
2018-06-14,20.69530
2018-06-15,20.71600
2018-06-18,20.69680
2018-06-19,20.55310
2018-06-20,20.39370
2018-06-21,20.36890
2018-06-22,20.12640
2018-06-25,20.09080
2018-06-26,19.87540
2018-06-27,20.05530
2018-06-28,19.86330
2018-06-29,19.69120
2018-07-02,20.14530
2018-07-03,19.59740
2018-07-04,19.42840
2018-07-05,19.25130
2018-07-06,19.07190
2018-07-09,19.15630
2018-07-10,19.05590
2018-07-11,18.96320
2018-07-12,18.82410
2018-07-13,18.88540
2018-07-16,18.83600
2018-07-17,18.87630
2018-07-18,18.91000
2018-07-19,19.07900
2018-07-20,19.06940
2018-07-23,19.07610
2018-07-24,18.85060
2018-07-25,18.77090
2018-07-26,18.62340
2018-07-27,18.55150
2018-07-30,18.54130
2018-07-31,18.64570
2018-08-01,18.58990
2018-08-02,18.63490
2018-08-03,18.57250
2018-08-06,18.54330
2018-08-07,18.46310
2018-08-08,18.45420
2018-08-09,18.65110
2018-08-10,18.92730
2018-08-13,19.18010
2018-08-14,18.99730
2018-08-15,19.23390
2018-08-16,19.01000
2018-08-17,19.06150
2018-08-20,19.03050
2018-08-21,18.87840
2018-08-22,18.81760
2018-08-23,18.86720
2018-08-24,18.83390
2018-08-27,18.66970
2018-08-28,18.93540
2018-08-29,19.06590
2018-08-30,19.12580
2018-08-31,19.17920
2018-09-03,19.21370
2018-09-04,19.36090
2018-09-05,19.44330
2018-09-06,19.35460
2018-09-07,19.23940
2018-09-10,19.29890
2018-09-11,19.26800
2018-09-12,19.05110
2018-09-13,18.87750
2018-09-14,18.86890
2018-09-17,18.83990
2018-09-18,18.76940
2018-09-19,18.76720
2018-09-20,18.82960
2018-09-21,18.85390
2018-09-24,18.85160
2018-09-25,18.98700
2018-09-26,18.89860
2018-09-27,18.81200
2018-09-28,18.72310
2018-10-01,18.65310
2018-10-02,18.75030
2018-10-03,18.80140
2018-10-04,19.13280
2018-10-05,18.94440
2018-10-08,18.92340
2018-10-09,19.00000
2018-10-10,19.11830
2018-10-11,19.02170
2018-10-12,18.92020
2018-10-15,18.80960
2018-10-16,18.76930
2018-10-17,18.80120
2018-10-18,19.10180
2018-10-19,19.21830
2018-10-22,19.36690
2018-10-23,19.41690
2018-10-24,19.46230
2018-10-25,19.43830
2018-10-26,19.47900
2018-10-29,19.80220
2018-10-30,20.02580
2018-10-31,20.31770
2018-11-01,20.13290
2018-11-05,19.96360
2018-11-06,19.86090
2018-11-07,19.82450
2018-11-08,20.04380
2018-11-09,20.36140
2018-11-12,20.31790
2018-11-13,20.51580
2018-11-14,20.39790
2018-11-15,20.33710
2018-11-16,20.15500
2018-11-20,20.41230
2018-11-21,20.20230
2018-11-22,20.29840
2018-11-23,20.39350
2018-11-26,20.53040
2018-11-27,20.49770
2018-11-28,20.41080
2018-11-29,20.22170
2018-11-30,20.34550
2018-12-03,20.23460
2018-12-04,20.51230
2018-12-05,20.56720
2018-12-06,20.47050
2018-12-07,20.26090
2018-12-10,20.36210
2018-12-11,20.28890
2018-12-13,20.25660
2018-12-14,20.33370
2018-12-17,20.11260
2018-12-18,20.12770
2018-12-19,20.02930
2018-12-20,19.90820
2018-12-21,19.92750
2018-12-24,19.84730
2018-12-26,19.88230
2018-12-27,19.68290
2018-12-28,19.65660
2018-12-31,19.65120
2019-01-02,19.58780
2019-01-03,19.60730
2019-01-04,19.49020
2019-01-07,19.32080
2019-01-08,19.34790
2019-01-09,19.24560
2019-01-10,19.17140
2019-01-11,19.12360
2019-01-14,19.00640
2019-01-15,19.04570
2019-01-16,18.99080
2019-01-17,19.06300
2019-01-18,19.08440
2019-01-21,19.19020
2019-01-22,19.12970
2019-01-23,19.07710
2019-01-24,18.98590
2019-01-25,18.92800
2019-01-28,19.03810
2019-01-29,18.99720
2019-01-30,19.16230
2019-01-31,19.03880
2019-02-01,19.10980
2019-02-05,19.08240
2019-02-06,19.10580
2019-02-07,19.08000
2019-02-08,19.08930
2019-02-11,19.25240
2019-02-12,19.25920
2019-02-13,19.40840
2019-02-14,19.35690
2019-02-15,19.36250
2019-02-18,19.25780
2019-02-19,19.17780
2019-02-20,19.18350
2019-02-21,19.26520
2019-02-22,19.13940
2019-02-25,19.11850
2019-02-26,19.16300
2019-02-27,19.22010
2019-02-28,19.26070
2019-03-01,19.29780
2019-03-04,19.30390
2019-03-05,19.25970
2019-03-06,19.37080
2019-03-07,19.52250
2019-03-08,19.49020
2019-03-11,19.42430
2019-03-12,19.30490
2019-03-13,19.33200
2019-03-14,19.32330
2019-03-15,19.21760
2019-03-19,19.00040
2019-03-20,18.90980
2019-03-21,18.86940
2019-03-22,19.13690
2019-03-25,19.01510
2019-03-26,19.09890
2019-03-27,19.32010
2019-03-28,19.37930
2019-03-29,19.37790
2019-04-01,19.21690
2019-04-02,19.22790
2019-04-03,19.18050
2019-04-04,19.17280
2019-04-05,19.08050
2019-04-08,18.97010
2019-04-09,18.92290
2019-04-10,18.83600
2019-04-11,18.84320
2019-04-12,18.77190
2019-04-15,18.84890
2019-04-16,18.95160
2019-04-17,18.84800
2019-04-22,18.83590
2019-04-23,18.95780
2019-04-24,19.00460
2019-04-25,19.09420
2019-04-26,18.94140
2019-04-29,19.01200
2019-04-30,19.00990
2019-05-02,19.10140
2019-05-03,19.00120
2019-05-06,18.97810
2019-05-07,19.04990
2019-05-08,19.08370
2019-05-09,19.26230
2019-05-10,19.13740
2019-05-13,19.19280
2019-05-14,19.14270
2019-05-15,19.12360
2019-05-16,19.07100
2019-05-17,19.14540
2019-05-20,19.09080
2019-05-21,19.03090
2019-05-22,18.97550
2019-05-23,19.01220
2019-05-24,19.06580
2019-05-27,19.05210
2019-05-28,19.16520
2019-05-29,19.23950
2019-05-30,19.06830
2019-05-31,19.64260
2019-06-03,19.76090
2019-06-04,19.60070
2019-06-05,19.54180
2019-06-06,19.70840
2019-06-07,19.65280
2019-06-10,19.20400
2019-06-11,19.12220
2019-06-12,19.13830
2019-06-13,19.16450
2019-06-14,19.14870
2019-06-17,19.19240
2019-06-18,19.10110
2019-06-19,19.17530
2019-06-20,18.98040
2019-06-21,19.06610
2019-06-24,19.18330
2019-06-25,19.22710
2019-06-26,19.14420
2019-06-27,19.16850
2019-06-28,19.20870
2019-07-01,19.07600
2019-07-02,19.06940
2019-07-03,19.05020
2019-07-04,18.99470
2019-07-05,19.04460
2019-07-08,18.91160
2019-07-09,19.00430
2019-07-10,19.24250
2019-07-11,19.12270
2019-07-12,19.03070
2019-07-15,18.98030
2019-07-16,19.07810
2019-07-17,19.02330
2019-07-18,19.01080
2019-07-19,19.01230
2019-07-22,19.06590
2019-07-23,19.13150
2019-07-24,19.08940
2019-07-25,19.06230
2019-07-26,19.06990
2019-07-29,19.09000
2019-07-30,19.07470
2019-07-31,18.99290
2019-08-01,19.16270
2019-08-02,19.31160
2019-08-05,19.57310
2019-08-06,19.62910
2019-08-07,19.69530
2019-08-08,19.51180
2019-08-09,19.42830
2019-08-12,19.58030
2019-08-13,19.46300
2019-08-14,19.57630
2019-08-15,19.63650
2019-08-16,19.56690
2019-08-19,19.81530
2019-08-20,19.75220
2019-08-21,19.67980
2019-08-22,19.74670
2019-08-23,19.84020
2019-08-26,19.90860
2019-08-27,19.99340
2019-08-28,20.03140
2019-08-29,20.09880
2019-08-30,20.06960
2019-09-02,20.12530
2019-09-03,20.00390
2019-09-04,19.78060
2019-09-05,19.68340
2019-09-06,19.56230
2019-09-09,19.53980
2019-09-10,19.53540
2019-09-11,19.54780
2019-09-12,19.42650
2019-09-13,19.36650
2019-09-17,19.42620
2019-09-18,19.35280
2019-09-19,19.39810
2019-09-20,19.44780
2019-09-23,19.44590
2019-09-24,19.45870
2019-09-25,19.57750
2019-09-26,19.63630
2019-09-27,19.68080
2019-09-30,19.73450
2019-10-01,19.77920
2019-10-02,19.79850
2019-10-03,19.73680
2019-10-04,19.52550
2019-10-07,19.55220
2019-10-08,19.58400
2019-10-09,19.56890
2019-10-10,19.47640
2019-10-11,19.32170
2019-10-14,19.26520
2019-10-15,19.25200
2019-10-16,19.21350
2019-10-17,19.16020
2019-10-18,19.14920
2019-10-21,19.14220
2019-10-22,19.10500
2019-10-23,19.12580
2019-10-24,19.08780
2019-10-25,19.08200
2019-10-28,19.05430
2019-10-29,19.11670
2019-10-30,19.16430
2019-10-31,19.19480
2019-11-01,19.10580
2019-11-04,19.15250
2019-11-05,19.21250
2019-11-06,19.19530
2019-11-07,19.13270
2019-11-08,19.10680
2019-11-11,19.10900
2019-11-12,19.21780
2019-11-13,19.45430
2019-11-14,19.42280
2019-11-15,19.20630
2019-11-19,19.36870
2019-11-20,19.48000
2019-11-21,19.41380
2019-11-22,19.39870
2019-11-25,19.44680
2019-11-26,19.51850
2019-11-27,19.56070
2019-11-28,19.61130
2019-11-29,19.53520
2019-12-02,19.57170
2019-12-03,19.56780
2019-12-04,19.47070
2019-12-05,19.36880
2019-12-06,19.32470
2019-12-09,19.23020
2019-12-10,19.23620
2019-12-11,19.17850
2019-12-13,19.04550
2019-12-16,18.97020
2019-12-17,18.91650
2019-12-18,18.95420
2019-12-19,18.96400
2019-12-20,18.91330
2019-12-23,18.93850
2019-12-24,18.96430
2019-12-26,18.94450
2019-12-27,18.84520
2019-12-30,18.87270
2019-12-31,18.86420
2020-01-02,18.88170
2020-01-03,18.86730
2020-01-06,18.82700
2020-01-07,18.88520
2020-01-08,18.79800
2020-01-09,18.84530
2020-01-10,18.77320
2020-01-13,18.82150
2020-01-14,18.81200
2020-01-15,18.80770
2020-01-16,18.79300
2020-01-17,18.73880
2020-01-20,18.67250
2020-01-21,18.70070
2020-01-22,18.68830
2020-01-23,18.80180
2020-01-24,18.83130
2020-01-27,18.94070
2020-01-28,18.80220
2020-01-29,18.70670
2020-01-30,18.78530
2020-01-31,18.90820
2020-02-04,18.67970
2020-02-05,18.62450
2020-02-06,18.66450
2020-02-07,18.77630
2020-02-10,18.76530
2020-02-11,18.67400
2020-02-12,18.63080
2020-02-13,18.64580
2020-02-14,18.57120
2020-02-17,18.57150
2020-02-18,18.59520
2020-02-19,18.59100
2020-02-20,18.79920
2020-02-21,18.91380
2020-02-24,19.11970
2020-02-25,19.08780
2020-02-26,19.15850
2020-02-27,19.39730
2020-02-28,19.77600
2020-03-02,19.69850
2020-03-03,19.28370
2020-03-04,19.53350
2020-03-05,19.80950
2020-03-06,20.16230
2020-03-09,21.11170
2020-03-10,21.02670
2020-03-11,21.21300
2020-03-12,22.15180
2020-03-13,21.92880
2020-03-17,23.05730
2020-03-18,23.90080
2020-03-19,24.08680
2020-03-20,24.11130
2020-03-23,25.07820
2020-03-24,25.11850
2020-03-25,24.29480
2020-03-26,23.09700
2020-03-27,23.51220
2020-03-30,24.28530
2020-03-31,23.48470
2020-04-01,24.49180
2020-04-02,24.10870
2020-04-03,24.69380
2020-04-06,24.68950
2020-04-07,24.03880
2020-04-08,24.09250
2020-04-13,23.74270
2020-04-14,23.56450
2020-04-15,24.11550
2020-04-16,24.20980
2020-04-17,23.90120
2020-04-20,24.00770
2020-04-21,24.42480
2020-04-22,24.58830
2020-04-23,24.62300
2020-04-24,24.85830
2020-04-27,24.84920
2020-04-28,24.38820
2020-04-29,24.00020
2020-04-30,23.92830
2020-05-04,24.38120
2020-05-05,23.83430
2020-05-06,24.29420
2020-05-07,24.05630
2020-05-08,23.68050
2020-05-11,23.86930
2020-05-12,24.04870
2020-05-13,24.21130
2020-05-14,24.27080
2020-05-15,23.95800
2020-05-18,23.60320
2020-05-19,23.60230
2020-05-20,23.29620
2020-05-21,22.96000
2020-05-22,22.79280
2020-05-25,22.56300
2020-05-26,22.29320
2020-05-27,22.36330
2020-05-28,22.20400
2020-05-29,22.17780
2020-06-01,22.01680
2020-06-02,21.68270
2020-06-03,21.60430
2020-06-04,21.83880
2020-06-05,21.58370
2020-06-08,21.65520
2020-06-09,21.72520
2020-06-10,21.92300
2020-06-11,22.42520
2020-06-12,22.33470
2020-06-15,22.54350
2020-06-16,22.21680
2020-06-17,22.27830
2020-06-18,22.60880
2020-06-19,22.63000
2020-06-22,22.44130
2020-06-23,22.41300
2020-06-24,22.66620
2020-06-25,22.79630
2020-06-26,22.97150
2020-06-29,23.13250
2020-06-30,23.08930
2020-07-01,22.80780
2020-07-02,22.52250
2020-07-03,22.41470
2020-07-06,22.28080
2020-07-07,22.62130
2020-07-08,22.82250
2020-07-09,22.69450
2020-07-10,22.53420
2020-07-13,22.46330
2020-07-14,22.61730
2020-07-15,22.36470
2020-07-16,22.30320
2020-07-17,22.48970
2020-07-20,22.62780
2020-07-21,22.35970
2020-07-22,22.25100
2020-07-23,22.36270
2020-07-24,22.38420
2020-07-27,22.02750
2020-07-28,21.96150
2020-07-29,21.99070
2020-07-30,22.17270
2020-07-31,22.20120
2020-08-03,22.61400
2020-08-04,22.78450
2020-08-05,22.40680
2020-08-06,22.36520
2020-08-07,22.48920
2020-08-10,22.48500
2020-08-11,22.34900
2020-08-12,22.34570
2020-08-13,22.26280
