"date","Primer cuartil","Mediana","Tercer cuartil"
1999-01-01,15.32,16.07,16.77
1999-02-01,14.74,15.28,15.69
1999-03-01,14.11,14.6,14.9
1999-04-01,13.9,14.35,15
1999-05-01,13.27,13.8,14.17
1999-06-01,12.81,13.38,13.66
1999-07-01,12.3,12.77,13.38
1999-08-01,11.92,12.4,13.06
1999-09-01,11.46,12,12.7
1999-10-01,11.39,11.95,12.48
1999-11-01,10.9,11.35,12.27
1999-12-01,10.8,11.11,11.7
2000-01-01,10.2,10.55,11.15
2000-02-01,9.73,10.4,10.66
2000-03-01,8.73,9.37,10.03
2000-04-01,8.69,9.5,9.92
2000-05-01,8.35,8.95,9.57
2000-06-01,8.35,8.99,9.37
2000-07-01,8.31,8.88,9.31
2000-08-01,8.1,8.63,9.01
2000-09-01,7.76,8.14,8.67
2000-10-01,7.47,7.93,8.67
2000-11-01,7.24,7.62,8.48
2000-12-01,7.03,7.3,7.88
2001-01-01,7.14,7.63,8.56
2001-02-01,7,7.74,8.2
2001-03-01,6.8,7.1,7.61
2001-04-01,6.53,7,7.36
2001-05-01,6.29,6.89,7.33
2001-06-01,6.16,6.7,7.05
2001-07-01,5.44,6.15,6.48
2001-08-01,5.4,5.74,6.04
2001-09-01,5.22,5.69,6.08
2001-10-01,4.8,5.4,5.73
2001-11-01,4.8,5.1,5.3
2001-12-01,4.63,5,5.1
2002-01-01,4.1,4.55,4.92
2002-02-01,4.15,4.59,4.77
2002-03-01,4.3,4.46,4.61
2002-04-01,4.06,4.26,4.45
2002-05-01,3.89,4.28,4.41
2002-06-01,3.72,4.17,4.54
2002-07-01,3.79,4.06,4.31
2002-08-01,3.62,4.06,4.28
2002-09-01,3.6,3.94,4.3
2002-10-01,3.69,4.12,4.38
2002-11-01,3.84,4.1,4.4
2002-12-01,3.98,4.13,4.59
2003-01-01,4.1,4.3,4.62
2003-02-01,4.11,4.31,4.7
2003-03-01,3.92,4.14,4.55
2003-04-01,3.72,4.03,4.48
2003-05-01,3.92,4.25,4.66
2003-06-01,3.98,4.18,4.59
2003-07-01,3.88,4.13,4.36
2003-08-01,3.89,4.04,4.32
