fecha,Base monetaria,Depósitos bancarios,Circulación monetaria
2018-01-01,1481027340,142781172.0,1338246168.0
2018-02-01,1475977346,139912802.0,1336064544.0
2018-03-01,1519655129,161873977.0,1357781152.0
2018-04-01,1492536593,138179344.0,1354357249.0
2018-05-01,1502800404,139376770.0,1363423634.0
2018-06-01,1532412481,137935707.0,1394476774.0
2018-07-01,1526363143,144554113.0,1381809030.0
2018-08-01,1518453527,137087465.0,1381366062.0
2018-09-01,1506101408,138281096.0,1367820312.0
2018-10-01,1525826761,151001810.0,1374824951.0
2018-11-01,1564619117,156068276.0,1408550841.0
2018-12-01,1673205362,177150315.0,1496055047.0
2019-01-01,1602739439,158933500.0,1443805939.0
2019-02-01,1577930231,152419437.0,1425510794.0
2019-03-01,1559571976,141312954.0,1418259022.0
2019-04-01,1569275220,158305449.0,1410969771.0
2019-05-01,1572136933,147692817.0,1424444116.0
2019-06-01,1573605005,151857017.0,1421747988.0
2019-07-01,1560512067,155498434.0,1405013633.0
2019-08-01,1562279696,148831771.0,1413447925.0
2019-09-01,1552833184,149347828.0,1403485356.0
2019-10-01,1562246040,159471254.0,1402774786.0
2019-11-01,1620559494,176667887.0,1443891607.0
2019-12-01,1740933991,190722073.0,1550211918.0
2020-01-01,1697189731,168704771.0,1528484960.0
2020-02-01,1669855250,154646682.0,1515208568.0
2020-03-01,1742861946,175551167.0,1567310779.0
2020-04-01,1790774578,163386500.0,1627388078.0
2020-05-01,1849226115,165220348.0,1684005767.0
2020-06-01,1856210430,152407422.0,1703803008.0
2020-07-01,1913925998,162246091.0,1751679907.0
2020-08-01,1912089949,162696399.0,1749393550.0
2020-09-01,1897192422,166378469.0,1730813953.0
2020-10-01,1918792995,164997723.0,1753795272.0
2020-11-01,1988458226,202545930.0,1785912296.0
2020-12-01,2117034117,209877123.0,1907156994.0
2021-01-01,2100801293,198064267.0,1902737026.0
2021-02-01,2087441443,186901587.0,1900539856.0
2021-03-01,2177188857,212328875.0,1964859982.0
2021-04-01,2136456494,182037888.0,1954418606.0
2021-05-01,2145575143,177051886.0,1968523257.0
2021-06-01,2152384942,183882392.0,1968502550.0
2021-07-01,2174415190,180790255.0,1993624935.0
2021-08-01,2172436018,180595961.0,1991840057.0
2021-09-01,2198220604,190978671.0,2007241933.0
2021-10-01,2218707576,181347147.0,2037360429.0
2021-11-01,2282773308,199041898.0,2083731410.0
2021-12-01,2439805472,211659997.0,2228145475.0
2022-01-01,2431877583,204644309.0,2227233274.0
2022-02-01,2437814975,203871023.0,2233943952.0
2022-03-01,2510318331,242975424.0,2267342907.0
2022-04-01,2473000775,208923816.0,2264076959.0
2022-05-01,2462447126,196475648.0,2265971478.0
2022-06-01,2448052579,189033387.0,2259019192.0
2022-07-01,2487462026,188725844.0,2298736182.0
2022-08-01,2458269863,186783315.0,2271486548.0
2022-09-01,2479370491,188598040.0,2290772451.0
2022-10-01,2482270298,183180056.0,2299090242.0
2022-11-01,2541813004,209024220.0,2332788784.0
2022-12-01,2691996614,215825708.0,2476170906.0
2023-01-01,2661855498,205304806.0,2456550692.0
2023-02-01,2639046132,207267509.0,2431778623.0
2023-03-01,2673907220,216213359.0,2457693861.0
2023-04-01,2658395769,213742158.0,2444653611.0
2023-05-01,2678082923,211406346.0,2466676577.0
2023-06-01,2680943893,208826860.0,2472117033.0
2023-07-01,2708515857,212262158.0,2496253699.0
2023-08-01,2678531468,217768303.0,2460763165.0
2023-09-01,2701597489,214219275.0,2487378214.0
2023-10-01,2715480389,215068643.0,2500411746.0
2023-11-01,2779065198,234332548.0,2544732650.0
2023-12-01,2959288961,248656927.0,2710632034.0
2024-01-01,2957043659,233689145.0,2723354514.0
2024-02-01,3013438859,223071857.0,2790367002.0
2024-03-01,3043321729,246560805.0,2796760924.0
2024-04-01,2979439714,219802098.0,2759637616.0
2024-05-01,2989391568,217318651.0,2772072917.0
2024-06-01,2994832882,218324014.0,2776508868.0
2024-07-01,3027579831,230380255.0,2797199576.0
2024-08-01,3027969359,,
