fecha,Activos internacionales netos,Reservas internacionales
2018-01-01,173205.2,173205.2
2018-02-01,172890.1,172890.1
2018-03-01,173231.6,173231.6
2018-04-01,173114.6,173114.6
2018-05-01,173311.2,173311.2
2018-06-01,173211.4,173211.4
2018-07-01,173283.5,173283.5
2018-08-01,173606.1,173606.1
2018-09-01,173566.1,173566.1
2018-10-01,173462.2,173462.2
2018-11-01,173775.3,173775.3
2018-12-01,174792.5,174792.5
2019-01-01,175572.3,175572.3
2019-02-01,175734.1,175734.1
2019-03-01,176648.6,176648.6
2019-04-01,176742.5,176742.5
2019-05-01,177855.9,177855.9
2019-06-01,178867.6,178867.6
2019-07-01,179006.6,179006.6
2019-08-01,180377.0,180377.0
2019-09-01,180208.3,180208.3
2019-10-01,180749.2,180749.2
2019-11-01,180597.3,180597.3
2019-12-01,180877.2,180877.2
2020-01-01,182796.5,182796.5
2020-02-01,184249.6,184249.6
2020-03-01,185528.8,185528.8
2020-04-01,186655.4,186655.4
2020-05-01,187315.6,187315.6
2020-06-01,189615.2,189615.2
2020-07-01,192605.6,192605.6
2020-08-01,193334.1,193334.1
2020-09-01,193956.6,193956.6
2020-10-01,194351.1,194351.1
2020-11-01,194286.7,194286.7
2020-12-01,195667.2,195667.2
2021-01-01,195946.1,195946.1
2021-02-01,195269.5,195269.5
2021-03-01,194774.2,194774.2
2021-04-01,195267.6,195267.6
2021-05-01,194097.1,194097.1
2021-06-01,192881.9,192881.9
2021-07-01,193423.8,193423.8
2021-08-01,205512.5,205512.5
2021-09-01,198414.4,198414.4
2021-10-01,198850.4,198850.4
2021-11-01,199501.9,199501.9
2021-12-01,202399.2,202399.2
2022-01-01,201637.7,201637.7
2022-02-01,201676.4,201676.4
2022-03-01,200806.5,200806.5
2022-04-01,199174.6,199174.6
2022-05-01,199503.9,199503.9
2022-06-01,198537.0,198537.0
2022-07-01,199479.8,199479.8
2022-08-01,198529.3,198529.3
2022-09-01,196917.5,196917.5
2022-10-01,196847.1,196847.1
2022-11-01,198240.5,198240.5
2022-12-01,199094.2,199094.2
2023-01-01,200997.9,200997.9
2023-02-01,200178.3,200178.3
2023-03-01,202337.6,202337.6
2023-04-01,203104.1,203104.1
2023-05-01,202663.7,202663.7
2023-06-01,203209.3,203209.3
2023-07-01,204071.4,204071.4
2023-08-01,204238.5,204238.5
2023-09-01,203767.6,203767.6
2023-10-01,204403.2,204403.2
2023-11-01,206839.2,206839.2
2023-12-01,212761.9,212761.9
2024-01-01,213315.9,213315.9
2024-02-01,213722.1,213722.1
2024-03-01,217193.8,217193.8
2024-04-01,217189.8,217189.8
2024-05-01,218726.3,218726.3
2024-06-01,219996.9,219996.9
2024-07-01,222348.3,222348.3
2024-08-01,224777.9,224777.9
