mes_abreviado,2018,2019,2020,2021,2022,2023,2024
ene,-933.181872221783,-1136.61644647902,1428.61287799531,2350.29026964369,-3609.18050447708,-317.79179823039,-328.212974213297
feb,-1383.239534575888,-980.033164871501,3039.81907948704,4345.9211558313,-3081.924283614189,-3143.1408327074596,-1827.067176439857
mar,-1918.759133991668,-848.5052759815769,4981.57700787667,390.49214626468984,-4690.650739874449,-3340.2713598891146,-2954.506164007097
abr,-2508.934727348187,-518.6137702973699,811.9361889921302,1200.2269463595358,-7003.853728209739,-5912.913127378775,-5031.300267188847
may,-4521.376503922917,166.58897780775806,-2780.04540526611,890.9700976025288,-10036.016210410668,-6790.720514770185,-4049.1786815839982
jun,-6388.950096500507,1361.701489836548,1929.4928815387602,737.8962861074558,-14654.337779941477,-6883.320995315195,-5614.913794663628
jul,-8220.441379448597,1549.843796363452,8532.13920355853,-2090.1406521492345,-19835.8589719745,-6747.414235696877,-4652.620807915512
ago,-9480.309456629808,2972.532835147842,15661.15343189002,-4404.055216525214,-23012.25385649142,-6218.768537969231,-7410.509333055792
sep,-9545.983394749817,3479.711667898915,20557.304812873328,-6082.437660048904,-23147.470432607315,-7141.652264601938,-7578.04469083818
oct,-11079.151799870528,3535.201047213131,27169.095813299617,-8380.562113734364,-24909.673674302285,-6983.514495150854,
nov,-13476.565009468657,4359.784349993219,30187.250653008457,-8528.447520824477,-25725.122035665387,-7207.131772118394,
dic,-13490.958486702386,5313.58068870606,33823.34617801773,-10415.135985866076,-27673.53516065069,-5536.491549746954,
